# Sizes, alignments and offsets of every ABI-crossing type, dumped from
# codec/api/wels/{codec_api,codec_app_def,codec_def}.h by rust/tools/abi_sizes.c.
# Regenerate with rust/tools/abi_sizes.sh; check with --check.
# host: Darwin arm64   cc: Apple clang version 21.0.0 (clang-2100.1.1.101)
#
# size <type> <sizeof> <alignof>
# off  <type> <field> <offsetof>
off   SSourcePicture             iPicWidth                      56
off   SSourcePicture             iPicHeight                     60
off   SSourcePicture             uiTimeStamp                    64
off   SLayerBSInfo               eFrameType                     4
off   SLayerBSInfo               uiLayerType                    8
off   SLayerBSInfo               iSubSeqId                      12
off   SLayerBSInfo               iNalCount                      16
off   SLayerBSInfo               pNalLengthInByte               24
off   SLayerBSInfo               pBsBuf                         32
off   SLayerBSInfo               rPsnr                          40
off   SFrameBSInfo               iLayerNum                      0
off   SFrameBSInfo               sLayerInfo                     8
off   SFrameBSInfo               eFrameType                     7176
off   SFrameBSInfo               iFrameSizeInBytes              7180
off   SFrameBSInfo               uiTimeStamp                    7184
off   SDecodingParam             pFileNameRestructed            0
off   SDecodingParam             uiCpuLoad                      8
off   SDecodingParam             uiTargetDqLayer                12
off   SDecodingParam             eEcActiveIdc                   16
off   SDecodingParam             bParseOnly                     20
off   SDecodingParam             sVideoProperty                 24
off   SEncoderStatistics         uiWidth                        0
off   SEncoderStatistics         uiHeight                       4
off   SEncoderStatistics         fAverageFrameSpeedInMs         8
off   SEncoderStatistics         fAverageFrameRate              12
off   SEncoderStatistics         fLatestFrameRate               16
off   SEncoderStatistics         uiBitRate                      20
off   SEncoderStatistics         uiAverageFrameQP               24
off   SEncoderStatistics         uiInputFrameCount              28
off   SEncoderStatistics         uiSkippedFrameCount            32
off   SEncoderStatistics         uiResolutionChangeTimes        36
off   SEncoderStatistics         uiIDRReqNum                    40
off   SEncoderStatistics         uiIDRSentNum                   44
off   SEncoderStatistics         uiLTRSentNum                   48
off   SEncoderStatistics         iStatisticsTs                  56
off   SEncoderStatistics         iTotalEncodedBytes             64
off   SEncParamBase              iUsageType                     0
off   SEncParamBase              iPicWidth                      4
off   SEncParamBase              iPicHeight                     8
off   SEncParamBase              iTargetBitrate                 12
off   SEncParamBase              iRCMode                        16
off   SEncParamBase              fMaxFrameRate                  20
off   OpenH264Version            uMajor                         0
off   OpenH264Version            uMinor                         4
off   OpenH264Version            uRevision                      8
off   OpenH264Version            uReserved                      12
off   SBitrateInfo               iLayer                         0
off   SBitrateInfo               iBitrate                       4
